,33,33,33,33,45,45,45,45
,fusemix,kpod,singleimput_knn,singleimput_mice,fusemix,kpod,singleimput_knn,singleimput_mice
sh,0.295 ± 0.012,-0.075 ± 0.029,0.283 ± 0.025,0.285 ± 0.021,0.098 ± 0.051,-0.06 ± 0.016,0.093 ± 0.054,0.094 ± 0.041
ch,20.292 ± 1.215,159.056 ± 164.14,20.791 ± 4.451,19.674 ± 1.843,5.329 ± 1.657,33.082 ± 26.566,5.472 ± 2.134,6.38 ± 1.843
db,5.251 ± 1.065,3.301 ± 2.085,5.521 ± 1.016,5.694 ± 0.82,7.898 ± 2.688,6.71 ± 4.495,8.628 ± 2.743,7.568 ± 2.095
ari,0.712 ± 0.057,0.012 ± 0.022,0.745 ± 0.111,0.788 ± 0.112,0.279 ± 0.103,0.007 ± 0.011,0.285 ± 0.122,0.331 ± 0.111
ami,0.838 ± 0.03,0.044 ± 0.033,0.801 ± 0.075,0.828 ± 0.066,0.384 ± 0.108,0.009 ± 0.012,0.345 ± 0.112,0.367 ± 0.1
vm,0.841 ± 0.03,0.067 ± 0.031,0.805 ± 0.073,0.831 ± 0.065,0.395 ± 0.106,0.028 ± 0.012,0.356 ± 0.11,0.378 ± 0.098
cs,0.845 ± 0.03,0.071 ± 0.031,0.805 ± 0.075,0.832 ± 0.066,0.412 ± 0.113,0.031 ± 0.013,0.357 ± 0.11,0.378 ± 0.099
known_ari,0.858 ± 0.09,0.011 ± 0.016,0.707 ± 0.085,0.706 ± 0.075,0.059 ± 0.066,0.015 ± 0.021,0.083 ± 0.035,0.094 ± 0.027
known_ami,0.879 ± 0.046,0.042 ± 0.03,0.791 ± 0.059,0.802 ± 0.045,0.131 ± 0.025,0.005 ± 0.011,0.1 ± 0.029,0.111 ± 0.024
known_vm,0.882 ± 0.045,0.064 ± 0.029,0.795 ± 0.058,0.807 ± 0.044,0.149 ± 0.024,0.025 ± 0.01,0.118 ± 0.028,0.128 ± 0.024
known_cs,0.884 ± 0.043,0.068 ± 0.029,0.792 ± 0.059,0.805 ± 0.045,0.14 ± 0.022,0.025 ± 0.01,0.107 ± 0.026,0.116 ± 0.022
